"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","pv_module_oem","pv_module_model","pv_module_type","pv_module_rating_w","pv_module_qty","inverter_oem","inverter_model","inverter_type","inverter_rating_w","inverter_qty","array_structure_oem","array_structure_model","array_structure_type"
Acacia SF (Lambruk Solar Project),Solar PV - Single axis tracking,Solar - Solar,300.0,Development,,Australia,New South Wales,2027-01-03,,,,,,,,,{},{},{},,{},{},{},{},{},{},{},{}
Adelaide Airport,Solar PV - Fixed,Solar - Solar,1.17,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Adelaide Desalination Plant - Solar PV1,Solar PV - Fixed,Solar - Solar,11.0,Operational,,Australia,South Australia,2022-01-05,,POINT (138.48384 -35.09984),-35.09984,138.48384,,,TODO Check nameplate,{},{},{},{},,{},{},{},{},{},{},{},{}
Adelaide Desalination Plant - Solar PV2,Solar PV - Fixed,Solar - Solar,13.72,Operational,,Australia,South Australia,2022-01-07,,POINT (138.48384 -35.09984),-35.09984,138.48384,,,TODO Check nameplate,{},{},{},{},,{},{},{},{},{},{},{},{}
Adelaide Zoo Solar System,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Aeroten Leongatha Solar,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Aldi Brendale,Solar PV - Fixed,Solar - Solar,0.93,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Aldoga Solar Farm,Solar PV - Single axis tracking,Solar - Solar,214.5,Development,,Australia,Queensland,,,POINT (151.038643 -23.80474107),-23.80474107,151.038643,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Aramara Solar Farm,Solar PV - Single axis tracking,Solar - Solar,101.4,Development,,Australia,Queensland,2026-01-06,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Argyle Solar Farm,Solar PV - Single axis tracking,Solar - Solar,59.8,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
AusNet Services Deakin University Victoria Geelong PV Plant,Solar PV - Single axis tracking,Solar - Solar,7.25,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Australia Plains Solar Farm,Solar PV - Single axis tracking,Solar - Solar,200.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Avonlie Solar Farm,Solar PV - Single axis tracking,Solar - Solar,254.1,Operational,,Australia,New South Wales,2023-01-11,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Axedale Solar Farm,Solar PV - Single axis tracking,Solar - Solar,140.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bakers Maison,Solar PV - Fixed,Solar - Solar,0.23,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Baking Board Battery Storage,Storage - Battery,Solar - Solar,400.0,Development,,Australia,Queensland,,,POINT (152.57545 -25.32239),-25.32239,152.57545,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Baking Board Solar Farm,Solar PV - Fixed,Solar - Solar,250.0,Development,,Australia,Queensland,,,POINT (150.5537166 -26.72121842),-26.72121842,150.5537166,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Baking Board Solar Farm (MMT),Solar PV - Fixed,Solar - Solar,300.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Baking Board Solar Farm Chinchilla,Solar PV - Single axis tracking,Solar - Solar,14.7,Operational,,Australia,Queensland,2018-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Banksia Solar Farm,Solar PV - Single axis tracking,Solar - Solar,60.0,Development,,Australia,Queensland,2025-01-09,,POINT (152.368025 -25.242041),-25.242041,152.368025,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bannerton Solar Park,Solar PV - Single axis tracking,Solar - Solar,100.0,Operational,,Australia,Victoria,2019-01-06,,POINT (142.74523209 -34.6898979),-34.6898979,142.7452321,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Barcaldine Remote Community Solar Farm,Solar PV - Single axis tracking,Solar - Solar,20.0,Operational,,Australia,Queensland,2017-05-20,,POINT (145.319009 -23.547418),-23.547418,145.319009,"MULTIPOLYGON (((145.31519664131153 -23.542344773828844, 145.32320397686 -23.543217274703537, 145.3218525866065 -23.553647455923695, 145.31583634580446 -23.553261128255542, 145.31619476462703 -23.549597693766426, 145.31428087559556 -23.549381641749815, 145.31519664131153 -23.542344773828844)))",https://diamondenergy.com.au/barcaldine/,"Source:
Arena Report
https://esdnews.com.au/sun-always-shines-barcy/
https://catcon.com.au/projects/power/renewables/solar/barcaldine-solar-farm/","{""JA Solar""}","{""JAP6 72-315/3BB""}",{},{315.0},79000,"{""Power Electronics""}",{FS2110CH_420V},{},{2110000.0},{10},{NEXTracker},{},"{""Single Axis Tracker 1P""}"
Barwon Solar Farm & BESS - Solar,Solar PV - Fixed,Solar - Solar,250.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bayswood Timber Hallam VIC,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Beaconhills College Berwick,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Beelbee Solar Farm,Solar PV - Single axis tracking,Solar - Solar,200.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Ben Bullen Solar Farm,Solar PV - Fixed,Solar - Solar,20.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bendemeer Renewable Energy Hub - Solar,Solar PV - Fixed,Solar - Solar,218.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Beryl Solar Farm,Solar PV - Single axis tracking,Solar - Solar,98.4,Operational,,Australia,New South Wales,2019-01-05,,POINT (149.471642 -32.357514),-32.357514,149.471642,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Birkins Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,399.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Blackwater Hybrid System - Solar,Solar PV - Single axis tracking,Solar - Solar,169.99,Development,,Australia,Queensland,2027-01-08,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Blair Athol Solar Power Station,Solar PV - Fixed,Solar - Solar,60.0,Development,,Australia,Queensland,,,POINT (149.246134 -22.629039),-22.629039,149.246134,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Blenheim BESS,Storage - Battery,Solar - Solar,29.25,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Blenheim Solar Farm,Solar PV - Fixed,Solar - Solar,106.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Blind Creek Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,390.6,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bluegrass Solar Farm,Solar PV - Single axis tracking,Solar - Solar,148.0,Operational,,Australia,Queensland,2023-01-06,,POINT (150.506 -26.68306),-26.68306,150.506,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Boggabri solar and storage project ,Storage - Battery,Solar - Solar,9.8,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bolivar Waste Water Treatment - Solar,Solar PV - Fixed,Solar - Solar,11.25,Operational,,Australia,South Australia,2022-01-10,,POINT (138.584148 -34.771581),-34.771581,138.584148,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Boma Solar Farm,Solar PV - Single axis tracking,Solar - Solar,15.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bomen Solar Farm,Solar PV - Single axis tracking,Solar - Solar,121.0,Operational,,Australia,New South Wales,2020-01-11,,POINT (147.44424 -35.04972),-35.04972,147.44424,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bonshaw Solar Farm,Solar PV - Single axis tracking,Solar - Solar,200.0,Development,,Australia,New South Wales,2025-01-06,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bookaar Solar Farm,Solar PV - Fixed,Solar - Solar,290.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bouldercombe Solar Farm,Solar PV - Fixed,Solar - Solar,200.0,Development,,Australia,Queensland,,,POINT (150.4801995 -23.52720538),-23.52720538,150.4801995,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Brewongle Solar Farm,Solar PV - Fixed,Solar - Solar,,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bridgewater,Solar PV - Fixed,Solar - Solar,1.3,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bridle Track Solar Project,Solar PV - Single axis tracking,Solar - Solar,300.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Broadlea Solar Farm,Solar PV - Single axis tracking,Solar - Solar,90.0,Development,,Australia,Queensland,,,POINT (148.2892025 -21.88460185),-21.88460185,148.2892025,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Broadsound Solar Farm,Solar PV - Single axis tracking,Solar - Solar,368.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Brocklehurst Solar Farm,Solar PV - Fixed,Solar - Solar,29.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Broken Hill Solar Plant,Solar PV - Fixed,Solar - Solar,53.0,Operational,,Australia,New South Wales,,,POINT (141.39154551 -31.98670743),-31.98670743,141.3915455,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bulli Creek Solar Farm (Trina),Solar PV - Fixed,Solar - Solar,450.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bulli Creek Solar Farm 1,Solar PV - Single axis tracking,Solar - Solar,675.0,Development,,Australia,Queensland,,,POINT (150.8778832 -28.02108918),-28.02108918,150.8778832,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bulli Creek Solar Farm 2,Solar PV - Single axis tracking,Solar - Solar,1025.0,Development,,Australia,Queensland,,,POINT (150.8778832 -28.02108918),-28.02108918,150.8778832,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bullyard Solar Farm,Solar PV - Single axis tracking,Solar - Solar,97.0,Development,,Australia,Queensland,,,POINT (152.0800028 -24.9392444),-24.9392444,152.0800028,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bundaberg Solar Farm,Solar PV - Single axis tracking,Solar - Solar,78.0,Development,,Australia,Queensland,2024-01-12,,POINT (152.013456 -24.93756324),-24.93756324,152.013456,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bungala One Solar Farm,Solar PV - Single axis tracking,Solar - Solar,135.0,Operational,,Australia,South Australia,2018-01-12,,POINT (137.841959 -32.423772),-32.423772,137.841959,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bungala Three Battery Energy Storage System,Storage - Battery,Solar - Solar,300.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bungala Three Solar Power Plant,Solar PV - Single axis tracking,Solar - Solar,79.99,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bungala Two Solar Farm,Solar PV - Single axis tracking,Solar - Solar,135.0,Operational,,Australia,South Australia,2021-01-09,,POINT (137.841392 -32.407733),-32.407733,137.841392,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bungama Solar - Solar,Solar PV - Single axis tracking,Solar - Solar,280.02,Development,,Australia,South Australia,2027-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bunurong 260 kW Solar PV Bangholme,Solar PV - Fixed,Solar - Solar,0.26,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Burdekin Solar Farm,Solar PV - Single axis tracking,Solar - Solar,140.0,Development,,Australia,Queensland,2026-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Bushranger Hybrid Facility - Solar,Solar PV - Fixed,Solar - Solar,300.33,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Callide Power Station Solar Farm,Solar PV - Fixed,Solar - Solar,200.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Calvale Solar Farm,Solar PV - Fixed,Solar - Solar,500.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Campbells Forest Solar Farm,Solar PV - Single axis tracking,Solar - Solar,205.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Capital East Solar Farm P1,Solar PV - Fixed,Solar - Solar,2.0,Operational,,Australia,New South Wales,,,POINT (149.5083 -35.2018),-35.2018,149.5083,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Carag Solar Farm,Solar PV - Fixed,Solar - Solar,16.0,Development,,Australia,New South Wales,2025-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Carisbrook Solar Farm,Solar PV - Single axis tracking,Solar - Solar,74.0,Development,,Australia,Victoria,2028-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Carwarp Solar Farm - Stage I,Solar PV - Single axis tracking,Solar - Solar,150.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Carwarp Solar Farm - Stage II,Solar PV - Single axis tracking,Solar - Solar,150.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cedar Meats Solar Geelong,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Chances Plain Solar Farm,Solar PV - Single axis tracking,Solar - Solar,98.01,Development,,Australia,Queensland,,,POINT (149.8096537 -26.62018272),-26.62018272,149.8096537,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Childers Solar Farm,Solar PV - Single axis tracking,Solar - Solar,64.38,Operational,,Australia,Queensland,2019-01-06,,POINT (152.40503637 -25.29276553),-25.29276553,152.4050364,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Chillamurra,Solar PV - Fixed,Solar - Solar,4.77,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Chillamurra Solar Farm,Solar PV - Fixed,Solar - Solar,3.6,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Chinchilla Solar Farm,Solar PV - Single axis tracking,Solar - Solar,113.16,Development,,Australia,Queensland,,,POINT (141.8590739 -12.6476517),-12.6476517,141.8590739,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Christies Beach Wastewater Treatment Plant - Solar,Solar PV - Single axis tracking,Solar - Solar,4.8,Operational,,Australia,South Australia,2022-01-10,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Churchill Abattoir,Solar PV - Fixed,Solar - Solar,0.91,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cimitiere Plains Solar Farm,Solar PV - Fixed,Solar - Solar,288.12,Development,,Australia,Tasmania,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Clare Solar Farm,Solar PV - Single axis tracking,Solar - Solar,110.4,Operational,,Australia,Queensland,,,POINT (147.21054204 -19.83977039),-19.83977039,147.210542,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Clermont Solar Farm,Solar PV - Single axis tracking,Solar - Solar,92.5,Operational,,Australia,Queensland,2019-01-03,,POINT (147.58552341 -22.84464393),-22.84464393,147.5855234,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cohuna Solar Farm,Solar PV - Single axis tracking,Solar - Solar,31.16,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Coleambally Solar Farm,Solar PV - Single axis tracking,Solar - Solar,150.3,Operational,,Australia,New South Wales,,,POINT (145.95339659 -34.74343877),-34.74343877,145.9533966,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Collinsville PV,Solar PV - Fixed,Solar - Solar,42.5,Operational,,Australia,Queensland,2018-01-08,,POINT (147.810373 -20.546114),-20.546114,147.810373,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Columboola Solar Farm,Solar PV - Single axis tracking,Solar - Solar,217.25,Operational,,Australia,Queensland,2023-01-10,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cooba Solar Farm,Solar PV - Single axis tracking,Solar - Solar,270.0,Development,,Australia,Victoria,2026-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cooma Solar Farm,Solar PV - Single axis tracking,Solar - Solar,260.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cooma Solar Farm (ACEN),Solar PV - Fixed,Solar - Solar,100.0,Development,,Australia,New South Wales,,,POINT (145.4665232 -17.04705067),-17.04705067,145.4665232,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cooma Solar Farm (Lightsource),Solar PV - Fixed,Solar - Solar,100.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Corop Solar Farm,Solar PV - Fixed,Solar - Solar,400.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Corowa Solar Farm,Solar PV - Single axis tracking,Solar - Solar,36.01,Operational,,Australia,New South Wales,2021-01-09,,POINT (146.359651 -35.978802),-35.978802,146.359651,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cross Roads Energy Solar Farm,Solar PV - Fixed,Solar - Solar,650.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Culcairn Solar Farm,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Cultana Solar Farm,Solar PV - Single axis tracking,Solar - Solar,357.45,Development,,Australia,South Australia,2026-01-07,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dalby Solar Farm,Solar PV - Fixed,Solar - Solar,4.94,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Darling Downs Solar Farm,Solar PV - Fixed,Solar - Solar,121.0,Operational,,Australia,Queensland,,,POINT (150.881921 -27.112668),-27.112668,150.881921,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Darlington Point Solar Farm,Solar PV - Single axis tracking,Solar - Solar,274.97,Operational,,Australia,New South Wales,2021-01-04,,POINT (146.054976 -34.647597),-34.647597,146.054976,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Daroobalgie Solar Farm,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Daydream Solar Farm,Solar PV - Single axis tracking,Solar - Solar,167.75,Operational,,Australia,Queensland,,,POINT (147.77066064 -20.49473778),-20.49473778,147.7706606,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
De Bortoli Wines,Solar PV - Fixed,Solar - Solar,0.23,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Derby Solar Farm,Solar PV - Single axis tracking,Solar - Solar,95.1,Development,,Australia,Victoria,2025-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
DHL6 Solar Horsley Park,Solar PV - Fixed,Solar - Solar,0.1,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dinawan Energy Hub - Solar,Solar PV - Single axis tracking,Solar - Solar,450.0,Development,,Australia,New South Wales,2028-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dingo Solar Farm,Solar PV - Fixed,Solar - Solar,85.0,Development,,Australia,Queensland,,,POINT (149.3995471 -23.65110589),-23.65110589,149.3995471,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Drayton's Family Wines Solar,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dulacca Solar,Solar PV - Single axis tracking,Solar - Solar,96.99,Development,,Australia,Queensland,,,POINT (149.8587083 -26.62305983),-26.62305983,149.8587083,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dumaresq Solar Farm,Solar PV - Single axis tracking,Solar - Solar,188.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dunblane Solar Farm,Solar PV - Fixed,Solar - Solar,7.2,Operational,,Australia,Queensland,2017-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dunedoo Solar Farm,Solar PV - Single axis tracking,Solar - Solar,55.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dunmore Solar Farm,Solar PV - Fixed,Solar - Solar,100.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dunmore Solar PV,Solar PV - Single axis tracking,Solar - Solar,400.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Dysart Solar Farm RED,Solar PV - Fixed,Solar - Solar,100.0,Development,,Australia,Queensland,,,POINT (145.3847598 -17.05059548),-17.05059548,145.3847598,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Edderton Hybrid Faciility - Solar,Solar PV - Fixed,Solar - Solar,350.28,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Edenvale Solar Park,Solar PV - Single axis tracking,Solar - Solar,180.0,Operational,,Australia,Queensland,2024-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Elaine Solar Farm & BESS Hybrid,Solar PV - Fixed,Solar - Solar,125.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Emerald Solar Park,Solar PV - Single axis tracking,Solar - Solar,72.0,Operational,,Australia,Queensland,2019-01-02,,POINT (148.13471483 -23.5083648),-23.5083648,148.1347148,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Emu Downs Solar Farm,Solar PV - Single axis tracking,Solar - Solar,,Operational,,Australia,Western Australia,,,POINT (115.4162424 -30.4891741),,,,https://www.apa.com.au/our-services/other-energy-services/wind-and-solar-farms/emu-downs-solar-farm/,,{},{},{},{},,{},{},{},{},{},{},{},{}
Esperance Hybrid Power Station - Solar,Solar PV - Single axis tracking,Solar - Solar,4.0,Operational,,Australia,Western Australia,,,POINT (121.8377809 -33.7588564),,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Eurimbula Solar Farm,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Finley Solar Farm,Solar PV - Single axis tracking,Solar - Solar,162.36,Operational,,Australia,New South Wales,2019-01-11,,POINT (145.508523 -35.644788),-35.644788,145.508523,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Flavorite Marketing,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Forbes Solar Farm,Solar PV - Fixed,Solar - Solar,120.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
